id,field,severity,title,current,target,depends_on
GAP-001,FIELD-04,P0,실시간 공급자·요금 통합,SAMPLE_ONLY,공급자 2곳 이상,[GAP-009]
GAP-002,FIELD-15,P0,예약 클릭아웃,없음,파트너 deep link·추적·복귀,[GAP-001;GAP-010]
GAP-003,FIELD-08,P1,지도·거리,없음,지도 또는 동등 지역 설명,[GAP-011]
GAP-004,FIELD-22,P0,제휴 수익화,0,제휴·정산 검증,[GAP-002]
GAP-005,FIELD-13,P1,가격 알림,없음,동의 기반 알림,[GAP-001;GAP-012]
GAP-006,FIELD-03,P0,재고·객실 범위,표본,정규화 재고,[GAP-001]
GAP-007,FIELD-05,P0,총액·세금 신뢰,표본,원장·시각·환율,[GAP-001;GAP-011]
GAP-008,FIELD-09,P1,리뷰·신뢰 증거,기본 설명,출처·시각·신고,[GAP-001]
GAP-009,FIELD-21,P0,공급자 API 어댑터,내부 경계,timeout·retry·정규화,[]
GAP-010,FIELD-24,P1,추적 고지,기본 정책,제휴·쿠키·동의 고지,[GAP-004]
GAP-011,FIELD-19,P1,지역화,한국어·원화,locale/currency 정책,[GAP-001]
GAP-012,FIELD-20,P1,저장 검색,계정 기록,저장·철회·보존,[]
GAP-013,FIELD-23,P1,운영 복구,책임자 미정,SLO·온콜·재처리,[GAP-009]
GAP-014,FIELD-16,P2,Android 실기기,ADB 0,유휴 1대 회귀,[]
